,Unnamed: 0,Months,Year Code,Year,Value
215,7355,April,1996,1996,1.73
216,7356,April,1997,1997,0.046
217,7357,April,1998,1998,-3.666
218,7358,April,1999,1999,-3.025
219,7359,April,2000,2000,-2.78
220,7360,April,2001,2001,-1.716
221,7361,April,2002,2002,2.983
222,7362,April,2003,2003,0.259
223,7363,April,2004,2004,1.567
224,7364,April,2005,2005,1.257
225,7365,April,2006,2006,0.945
226,7366,April,2007,2007,-1.956
227,7367,April,2008,2008,2.185
228,7368,April,2009,2009,-1.485
229,7369,April,2010,2010,-3.373
230,7370,April,2011,2011,-0.974
231,7371,April,2012,2012,-2.121
232,7372,April,2013,2013,-0.09
233,7373,April,2014,2014,1.224
234,7374,April,2015,2015,0.58
235,7375,April,2016,2016,0.826
236,7376,April,2017,2017,-1.099
237,7377,April,2018,2018,-0.026
238,7378,April,2019,2019,0.191
239,7379,April,2020,2020,2.87
240,7380,May,1961,1961,0.497
241,7381,May,1962,1962,-1.448
242,7382,May,1963,1963,0.765
243,7383,May,1964,1964,-3.206
244,7384,May,1965,1965,1.126
245,7385,May,1966,1966,-2.139
246,7386,May,1967,1967,-0.587
247,7387,May,1968,1968,-0.737
248,7388,May,1969,1969,0.215
249,7389,May,1970,1970,-1.141
250,7390,May,1971,1971,0.845
251,7391,May,1972,1972,-1.053
252,7392,May,1973,1973,1.768
253,7393,May,1974,1974,-0.141
254,7394,May,1975,1975,2.784
255,7395,May,1976,1976,-1.751
256,7396,May,1977,1977,2.451
257,7397,May,1978,1978,0.689
258,7398,May,1979,1979,-2.964
259,7399,May,1980,1980,1.084
260,7400,May,1981,1981,1.896
261,7401,May,1982,1982,0.716
262,7402,May,1983,1983,1.441
263,7403,May,1984,1984,1.821
264,7404,May,1985,1985,-1.809
265,7405,May,1986,1986,-2.312
266,7406,May,1987,1987,-1.355
267,7407,May,1988,1988,-0.313
268,7408,May,1989,1989,-3.349
269,7409,May,1990,1990,-1.869
270,7410,May,1991,1991,-1.432
271,7411,May,1992,1992,-0.953
272,7412,May,1993,1993,-0.722
273,7413,May,1994,1994,-1.118
274,7414,May,1995,1995,-1.706
275,7415,May,1996,1996,-2.901
276,7416,May,1997,1997,-0.839
277,7417,May,1998,1998,0.032
278,7418,May,1999,1999,-0.719
279,7419,May,2000,2000,-1.422
280,7420,May,2001,2001,0.194
281,7421,May,2002,2002,2.062
282,7422,May,2003,2003,-1.127
283,7423,May,2004,2004,-0.529
284,7424,May,2005,2005,-1.167
285,7425,May,2006,2006,0.441
286,7426,May,2007,2007,2.93
287,7427,May,2008,2008,-0.218
288,7428,May,2009,2009,4.358
289,7429,May,2010,2010,2.5
290,7430,May,2011,2011,-2.663
291,7431,May,2012,2012,-0.473
292,7432,May,2013,2013,-3.116
293,7433,May,2014,2014,2.161
294,7434,May,2015,2015,-1.138
295,7435,May,2016,2016,1.218
296,7436,May,2017,2017,1.268
297,7437,May,2018,2018,3.55
298,7438,May,2019,2019,0.221
299,7439,May,2020,2020,1.394
300,7440,June,1961,1961,3.399
301,7441,June,1962,1962,3.378
302,7442,June,1963,1963,2.356
303,7443,June,1964,1964,3.082
304,7444,June,1965,1965,2.824
305,7445,June,1966,1966,-2.133
306,7446,June,1967,1967,-1.761
307,7447,June,1968,1968,-0.239
308,7448,June,1969,1969,0.544
309,7449,June,1970,1970,-1.49
310,7450,June,1971,1971,-2.224
311,7451,June,1972,1972,0.075
312,7452,June,1973,1973,-0.835
313,7453,June,1974,1974,0.747
314,7454,June,1975,1975,-2.234
315,7455,June,1976,1976,-0.826
316,7456,June,1977,1977,1.498
317,7457,June,1978,1978,-1.241
318,7458,June,1979,1979,0.072
319,7459,June,1980,1980,0.04
320,7460,June,1981,1981,0.405
321,7461,June,1982,1982,-1.426
322,7462,June,1983,1983,-1.976
323,7463,June,1984,1984,-4.203
324,7464,June,1985,1985,3.262
325,7465,June,1986,1986,-3.587
326,7466,June,1987,1987,1.77
327,7467,June,1988,1988,1.377
328,7468,June,1989,1989,-2.579
329,7469,June,1990,1990,0.874
330,7470,June,1991,1991,0.382
331,7471,June,1992,1992,2.085
332,7472,June,1993,1993,-2.706
333,7473,June,1994,1994,2.914
334,7474,June,1995,1995,-0.072
335,7475,June,1996,1996,-1.417
336,7476,June,1997,1997,1.206
337,7477,June,1998,1998,1.97
338,7478,June,1999,1999,0.392
339,7479,June,2000,2000,0.221
340,7480,June,2001,2001,0.633
341,7481,June,2002,2002,-2.246
342,7482,June,2003,2003,-4.006
343,7483,June,2004,2004,-2.086
344,7484,June,2005,2005,-0.423
345,7485,June,2006,2006,0.358
346,7486,June,2007,2007,4.732
347,7487,June,2008,2008,-1.941
348,7488,June,2009,2009,2.744
349,7489,June,2010,2010,-1.142
350,7490,June,2011,2011,-1.679
351,7491,June,2012,2012,-0.879
352,7492,June,2013,2013,4.044
353,7493,June,2014,2014,1.48
354,7494,June,2015,2015,-0.908
355,7495,June,2016,2016,-0.456
356,7496,June,2017,2017,-1.163
357,7497,June,2018,2018,4.584
358,7498,June,2019,2019,-2.636
359,7499,June,2020,2020,2.126
360,7500,July,1961,1961,0.016
361,7501,July,1962,1962,-0.316
362,7502,July,1963,1963,0.497
363,7503,July,1964,1964,2.519
364,7504,July,1965,1965,-2.59
365,7505,July,1966,1966,1.354
366,7506,July,1967,1967,2.498
367,7507,July,1968,1968,-1.781
368,7508,July,1969,1969,-3.355
369,7509,July,1970,1970,0.422
370,7510,July,1971,1971,-0.908
371,7511,July,1972,1972,0.175
372,7512,July,1973,1973,0.222
373,7513,July,1974,1974,-0.456
374,7514,July,1975,1975,-1.361
375,7515,July,1976,1976,-0.266
376,7516,July,1977,1977,2.749
377,7517,July,1978,1978,0.237
378,7518,July,1979,1979,-3.255
379,7519,July,1980,1980,0.799
380,7520,July,1981,1981,3.682
381,7521,July,1982,1982,1.526
382,7522,July,1983,1983,-3.109
383,7523,July,1984,1984,3.312
384,7524,July,1985,1985,-0.711
385,7525,July,1986,1986,0.242
386,7526,July,1987,1987,0.022
387,7527,July,1988,1988,-0.418
388,7528,July,1989,1989,2.275
389,7529,July,1990,1990,3.128
390,7530,July,1991,1991,3.164
391,7531,July,1992,1992,0.049
392,7532,July,1993,1993,0.375
393,7533,July,1994,1994,0.164
394,7534,July,1995,1995,4.15
395,7535,July,1996,1996,4.134
396,7536,July,1997,1997,-3.972
397,7537,July,1998,1998,0.548
398,7538,July,1999,1999,-1.661
399,7539,July,2000,2000,0.284
400,7540,July,2001,2001,0.271
401,7541,July,2002,2002,4.282
402,7542,July,2003,2003,-1.829
403,7543,July,2004,2004,-5.023
404,7544,July,2005,2005,-1.219
405,7545,July,2006,2006,-3.338
406,7546,July,2007,2007,2.429
407,7547,July,2008,2008,3.094
408,7548,July,2009,2009,3.157
409,7549,July,2010,2010,0.565
410,7550,July,2011,2011,2.245
411,7551,July,2012,2012,-0.902
412,7552,July,2013,2013,1.306
413,7553,July,2014,2014,-0.842
414,7554,July,2015,2015,-1.437
415,7555,July,2016,2016,-1.891
416,7556,July,2017,2017,0.187
417,7557,July,2018,2018,1.51
418,7558,July,2019,2019,1.564
419,7559,July,2020,2020,0.815
420,7560,August,1961,1961,2.058
421,7561,August,1962,1962,-0.648
422,7562,August,1963,1963,4.005
423,7563,August,1964,1964,0.949
424,7564,August,1965,1965,1.939
425,7565,August,1966,1966,-1.782
426,7566,August,1967,1967,-0.638
427,7567,August,1968,1968,-1.411
428,7568,August,1969,1969,0.485
429,7569,August,1970,1970,-0.817
430,7570,August,1971,1971,0.167
431,7571,August,1972,1972,4.206
432,7572,August,1973,1973,-0.531
433,7573,August,1974,1974,2.898
434,7574,August,1975,1975,-1.906
435,7575,August,1976,1976,-3.233
436,7576,August,1977,1977,1.085
437,7577,August,1978,1978,-2.72
438,7578,August,1979,1979,-0.972
439,7579,August,1980,1980,-0.935
440,7580,August,1981,1981,4.228
441,7581,August,1982,1982,-1.826
442,7582,August,1983,1983,0.588
443,7583,August,1984,1984,0.787
444,7584,August,1985,1985,1.599
445,7585,August,1986,1986,1.314
446,7586,August,1987,1987,-4.991
447,7587,August,1988,1988,2.663
448,7588,August,1989,1989,3.334
449,7589,August,1990,1990,-0.881
450,7590,August,1991,1991,1.019
451,7591,August,1992,1992,-0.412
452,7592,August,1993,1993,-3.095
453,7593,August,1994,1994,-1.029
454,7594,August,1995,1995,-1.22
455,7595,August,1996,1996,4.21
456,7596,August,1997,1997,-0.432
457,7597,August,1998,1998,-1.55
